Symbol,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding
APLAPOLLO,7.81%,14.29%,13.81%,20.89%,14.19%,3.36%,28.25,37.5,15.09,19.16
MOTILALOFS,26.73%,-138.70%,124.84%,-246.75%,17.37%,2.56%,67.54,7.03,5.61,19.82
KEI,17.66%,21.06%,19.27%,25.50%,19.89%,19.90%,35,27.27,25.83,11.9
M&MFIN,1.63%,14.46%,13.37%,109.94%,16.88%,16.36%,52.49,9.4,32.09,6.02
RADICO,-4.45%,12.94%,15.54%,93.27%,17.79%,31.82%,40.2,17.63,27.35,14.82
SUPREMEIND,31.29%,165.23%,16.54%,46.19%,3.08%,-10.17%,48.96,17.12,16.38,17.54
PIRAMALFIN,17.35%,36.17%,21.22%,1348.80%,22.96%,99.66%,46.16,14.63,18.8,20.41
TATACOMM,5.90%,-29.77%,9.41%,-66.01%,11.18%,43.31%,58.86,14.44,19.11,7.59
360ONE,-5.59%,-11.78%,27.31%,15.68%,31.46%,26.25%,6.24,63.33,12.86,17.57
KALYANKJIL,-0.66%,-1.63%,66.22%,118.28%,35.27%,19.77%,62.87,14.55,14.13,8.45
BALKRISIND,7.16%,-21.64%,6.56%,-18.75%,11.51%,12.47%,58.29,11.13,24.25,6.33
PETRONET,-15.42%,58.20%,-23.33%,25.29%,-3.31%,10.12%,50,27.13,12.79,10.08
MPHASIS,6.00%,15.25%,14.36%,14.53%,11.59%,9.43%,30.55,19.51,45.63,4.31
POONAWALLA,16.34%,69.61%,81.39%,308.78%,34.76%,-105.96%,63.93,10.21,11.13,14.73
LTTS,-2.24%,5.58%,8.34%,14.49%,10.60%,-3.28%,73.57,3.86,14.26,8.31
ASTERDM,-0.29%,140.52%,18.20%,69.66%,11.88%,64.50%,40.39,17.18,27.57,14.86
AJANTPHARM,3.40%,-2.58%,21.47%,18.40%,10.44%,12.77%,66.25,8.26,18.36,7.13
