,,Mar26 vs Dec25,Mar26 vs Dec25,Mar26 vs Mar25,Mar26 vs Mar25,FY25-26,FY25-26,,,,,,,,,,,,
Symbol,Total Debt to Equity,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding,ROE FY25-26,ROE FY24-25,ROE FY23-24, PEG , FY25-26 Dividend/Share, FY24-25 Dividend/Share, FY23-24 Dividend/Share,  Book Value  
AMBUJACEM, -   ,6.22%,411.57%,9.37%,37.44%,5.69%,8.95%, 67.68 , 5.87 , 18.06 , 8.39 ,11.2,14.49,11.62,1.89,2,2,2.5, 254 
LLOYDSME,0.14,19.01%,38.12%,404.46%,646.75%,3.02%,16.65%, 61.64 , 2.26 , 1.71 , 34.39 ,35.66,57.88,-29.04,0.18,1,1,0, 246 
LODHA,0.36,0.88%,5.86%,11.58%,8.91%,33.57%,78.01%, 72.27 , 21.24 , 4.61 , 1.88 ,15.16,10.72,4.12,0.88,4.25,2.25,2, 229 
ABCAPITAL,4.64,12.61%,12.79%,10.19%,42.88%,19.59%,-0.19%, 68.51 , 7.02 , 13.51 , 10.96 ,11.96,14.55,27.27,0.94,0,0,0, 131 
BHARATFORG,0.68,4.26%,-15.36%,17.53%,-17.77%,-3.57%,0.34%, 44.07 , 14.15 , 29.82 , 11.96 ,11.14,13.13,7.66, -   ,8.5,9,7, 200 
RECLTD,6.33,-3.02%,-16.71%,-5.02%,-21.69%,18.65%,12.29%, 52.63 , 15.79 , 14.77 , 16.81 ,21.67,22.39,20.62,0.35,18,16,12.6, 323 
WAAREEENER,0.13,12.10%,1.76%,111.80%,74.76%,26.73%,51.30%, 64.19 , 7.06 , 4.32 , 24.43 ,28.65,43.62,44.88,0.13,0,0,0, 502 
SHREECEM,0.04,27.09%,97.10%,10.29%,-8.25%,-5.49%,-53.10%, 62.55 , 8.94 , 15.52 , 12.99 ,5.32,12.18,7.03, -   ,110,105,100," 6,449 "
MEESHO, -   ,0.39%,66.10%,31.83%,-344.40%,23.31%,-1103.06%, 16.57 , 4.17 , 5.55 , 73.71 ,-411.55,-21.4,-94.85, -   ,0,0,0, 10 
ICICIGI, -   ,1.85%,-17.03%,10.81%,7.25%,0.00%,30.74%, 51.29 , 22.29 , 17.14 , 9.28 ,19.14,17.17,17.73,1.29,12.5,11,10, 337 
